author,author_type,location,deal_type,accommodation_type,floors_count,rooms_count,total_meters,price,district,underground,price_per_meter,availability_underground
ХОРЕКА ИНВЕСТ,real_estate_agent,Москва,sale,flat,17,1,31.1,8390000.0,Останкинский,Ботанический сад,269775,True
COLDY,developer,Москва,sale,flat,14,1,100.75,266181500.0,Хамовники,Киевская,2642000,True
Century21 Феникс,real_estate_agent,Москва,sale,flat,12,1,34.9,11900000.0,Измайлово,Измайловская,340974,True
do A.S.A.P.,real_estate_agent,Москва,sale,flat,10,1,40.0,9990000.0,Выхино-Жулебино,Жулебино,249750,True
На Петровке,real_estate_agent,Москва,sale,flat,21,1,37.0,14200000.0,Хорошевский,Зорге,383784,True
Этажи Москва,real_estate_agent,Москва,sale,flat,12,1,34.7,9300000.0,Гольяново,Гольяново,268012,True
Парадайс,real_estate_agent,Москва,sale,flat,22,1,34.4,8799999.0,Силино,Зеленоград — Крюково,255814,True
ЛюксДом,real_estate_agent,Москва,sale,flat,8,1,38.0,46500000.0,Таганский,Китай-город,1223684,True
Ирина Василевская,realtor,Москва,sale,flat,9,1,33.0,11000000.0,Коньково,Университет Дружбы Народов,333333,True
Этажи Москва,real_estate_agent,Москва,sale,flat,12,1,35.4,10300000.0,Тимирязевский,Тимирязевская,290960,True
Эксклюзив Хоум,real_estate_agent,Москва,sale,flat,15,1,37.3,20500000.0,Беговой,Петровский Парк,549598,True
Этажи Москва,real_estate_agent,Москва,sale,flat,34,1,46.9,23000000.0,Обручевский,Воронцовская,490405,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,27,1,36.8,23000000.0,Лефортово,Авиамоторная,625000,True
