author,author_type,location,deal_type,accommodation_type,floors_count,rooms_count,total_meters,price,district,underground,price_per_meter,availability_underground
АЛЬФА,real_estate_agent,Москва,sale,flat,9,2,40.0,12500000.0,Северное Измайлово,Щёлковская,312500,True
Бест офис на Таганской,real_estate_agent,Москва,sale,flat,16,2,51.7,12500000.0,Лианозово,Лианозово,241779,True
do A.S.A.P.,real_estate_agent,Москва,sale,flat,9,2,40.8,12800000.0,Преображенское,Преображенская площадь,313725,True
Самолет плюс Троицк,real_estate_agent,Москва,sale,flat,9,2,45.0,12990000.0,Коньково,Коньково,288667,True
Этажи Москва,real_estate_agent,Москва,sale,flat,25,2,45.0,12950000.0,Крюково,Зеленоград — Крюково,287778,True
Homeapp,real_estate_agent,Москва,sale,flat,5,2,43.0,12900000.0,Бабушкинский,Бабушкинская,300000,True
Этажи Москва,real_estate_agent,Москва,sale,flat,20,2,32.7,13100000.0,Солнцево,Солнцево,400612,True
do A.S.A.P.,real_estate_agent,Москва,sale,flat,9,2,45.0,13000000.0,Люблино,Люблино,288889,True
На Петровке,real_estate_agent,Москва,sale,flat,5,2,56.0,13000000.0,Можайский,Давыдково,232143,True
One Life,real_estate_agent,Москва,sale,flat,18,2,59.0,13150000.0,Останкинский,Ботанический сад,222881,True
CENTURY 21 Столичная недвижимость,real_estate_agent,Москва,sale,flat,12,2,52.1,13300000.0,Перово,Шоссе Энтузиастов,255278,True
Этажи Москва,real_estate_agent,Москва,sale,flat,12,2,51.3,13500000.0,Люблино,Люблино,263158,True
Наталия Шпрингер,realtor,Москва,sale,flat,9,2,45.1,13400000.0,Коньково,Беляево,297118,True
Homeapp,real_estate_agent,Москва,sale,flat,5,2,41.6,13900000.0,Гольяново,Щёлковская,334135,True
МГСН-Проспект Мира,real_estate_agent,Москва,sale,flat,9,2,42.0,13900000.0,Бескудниковский,Верхние Лихоборы,330952,True
Homeapp,real_estate_agent,Москва,sale,flat,12,2,45.1,14000000.0,Орехово-Борисово Южное,Домодедовская,310421,True
Парадайс,real_estate_agent,Москва,sale,flat,16,2,55.5,13950000.0,Крюково,Зеленоград — Крюково,251351,True
СОЗВЕЗДИЕ,real_estate_agent,Москва,sale,flat,9,2,45.1,14000000.0,Тропарево-Никулино,Юго-Западная,310421,True
ФСК Агент,real_estate_agent,Москва,sale,flat,33,2,52.9,14050000.0,Западное Дегунино,Ховрино,265595,True
Наталья  Башар,realtor,Москва,sale,flat,9,2,42.0,13999999.0,Кузьминки,Рязанский проспект,333333,True
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,12,2,52.3,14200000.0,Бирюлево Восточное,Лебедянская,271511,True
ID 96167522,realtor,Москва,sale,flat,9,2,44.9,14200000.0,Коньково,Беляево,316258,True
NEXT LEVEL RIELT,real_estate_agent,Москва,sale,flat,30,2,46.6,14300000.0,Покровское-Стрешнево,Трикотажная,306867,True
АЯКС,real_estate_agent,Москва,sale,flat,12,2,44.9,14350000.0,Северное Тушино,Сходненская,319599,True
Наталья  Башар,realtor,Москва,sale,flat,12,2,43.0,14299999.0,Рязанский,Окская,332558,True
PRO ОБМЕН,real_estate_agent,Москва,sale,flat,9,2,40.2,14500000.0,Ломоносовский,Новые Черёмушки,360697,True
ФСК Агент,real_estate_agent,Москва,sale,flat,12,2,59.6,14450000.0,Молжаниновский,Новоподрезково,242450,True
Мария Бахарева,realtor,Москва,sale,flat,9,2,40.0,14500000.0,Южнопортовый,Кожуховская,362500,True
Триумфальная Арка,real_estate_agent,Москва,sale,flat,9,2,40.5,14750000.0,Преображенское,Преображенская площадь,364198,True
На Петровке,real_estate_agent,Москва,sale,flat,17,2,50.4,14700000.0,Северное Медведково,Медведково,291667,True
Московский Квартал,real_estate_agent,Москва,sale,flat,9,2,40.0,14999999.0,Обручевский,Новаторская,375000,True
Екатерина Минибаева,realtor,Москва,sale,flat,9,2,47.5,14990000.0,Ясенево,Ясенево,315579,True
Юлия Раулец,realtor,Москва,sale,flat,18,2,56.0,15280000.0,Бирюлево Восточное,Царицыно,272857,True
PROНЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,22,2,57.8,15300000.0,Марьино,Братиславская,264706,True
Самолет плюс - Химки,real_estate_agent,Москва,sale,flat,17,2,53.4,15500000.0,Митино,Митино,290262,True
Этажи Москва,real_estate_agent,Москва,sale,flat,12,2,44.2,15500000.0,Чертаново Южное,Улица Академика Янгеля,350679,True
WHITE BROKER,real_estate_agent,Москва,sale,flat,9,2,44.4,15500000.0,Южнопортовый,Кожуховская,349099,True
Вертикаль,real_estate_agent,Москва,sale,flat,17,2,54.0,15500000.0,Ховрино,Грачёвская,287037,True
ID 207675,realtor,Москва,sale,flat,9,2,44.0,15500000.0,Савеловский,Савёловская,352273,True
ГОРОДА,real_estate_agent,Москва,sale,flat,17,2,50.1,15600000.0,Митино,Волоколамская,311377,True
Homeapp,real_estate_agent,Москва,sale,flat,53,2,40.8,15700000.0,Покровское-Стрешнево,Трикотажная,384804,True
ОЛ ИНКЛЮЗИВ,real_estate_agent,Москва,sale,flat,23,2,49.5,15800000.0,Рязанский,Стахановская,319192,True
Homeapp,real_estate_agent,Москва,sale,flat,19,2,54.7,16000000.0,Ховрино,Ховрино,292505,True
Homeapp,real_estate_agent,Москва,sale,flat,19,2,54.8,16000000.0,Ховрино,Ховрино,291971,True
Метр-Инфо,real_estate_agent,Москва,sale,flat,9,2,45.0,15900000.0,Очаково-Матвеевское,Матвеевская,353333,True
VESPER,developer,Москва,sale,flat,21,4,234.3,344593211.0,Пресненский,Улица 1905 года,1470735,True
SHOW ME,real_estate_agent,Москва,sale,flat,85,4,294.6,412440000.0,Пресненский,Деловой центр,1400000,True
PEOPLE,real_estate_agent,Москва,sale,flat,8,4,207.0,450000000.0,Арбат,Арбатская,2173913,True
Tekta Group,developer,Москва,sale,flat,42,4,82.9,37706298.0,Котловка,Нагорная,454841,True
hoomie,real_estate_agent,Москва,sale,flat,20,4,90.71,32501393.0,Даниловский,Тульская,358300,True
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,4,110.0,46690000.0,Красносельский,Сухаревская,424455,True
VESPER,developer,Москва,sale,flat,4,4,424.6,976580000.0,Пресненский,Пушкинская,2300000,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,10,4,180.0,212000000.0,Дорогомилово,Парк Победы,1177778,True
Monumental Group,real_estate_agent,Москва,sale,flat,4,4,210.0,125970000.0,Тверской,Пушкинская,599857,True
ANT Development,developer,Москва,sale,flat,10,4,136.1,152135071.0,Дорогомилово,Поклонная,1117818,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,37,4,177.3,215000000.0,Дорогомилово,Поклонная,1212634,True
Елена Подстрешная,realtor,Москва,sale,flat,28,4,133.2,41500000.0,Филевский парк,Шелепиха,311562,True
Главстрой,developer,Москва,sale,flat,13,4,125.7,61745725.0,Филевский парк,Фили,491215,True
ZIP Realty,real_estate_agent,Москва,sale,flat,18,4,176.6,98000000.0,Хорошевский,ЦСКА,554926,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,24,4,196.0,65000000.0,Можайский,Рабочий посёлок,331633,True
Галс-Девелопмент,developer,Москва,sale,flat,20,4,127.0,74295000.0,Басманный,Бауманская,585000,True
SHOW ME,real_estate_agent,Москва,sale,flat,23,4,244.1,78000000.0,Хорошевский,ЦСКА,319541,True
BELFORT,real_estate_agent,Москва,sale,flat,19,4,110.0,63000000.0,Пресненский,Улица 1905 года,572727,True
MR Group,developer,Москва,sale,flat,54,4,116.85,66347430.0,Савеловский,Дмитровская,567800,True
SHOW ME,real_estate_agent,Москва,sale,flat,6,4,324.5,250000000.0,Беговой,Белорусская,770416,True
Monumental Group,real_estate_agent,Москва,sale,flat,7,4,160.0,99999000.0,Тверской,Маяковская,624994,True
MR Group,developer,Москва,sale,flat,46,4,95.0,39202963.0,Даниловский,Павелецкая,412663,True
Kalinka Group,real_estate_agent,Москва,sale,flat,9,4,233.0,600000000.0,Хамовники,Спортивная,2575107,True
SUNRISE Estate,real_estate_agent,Москва,sale,flat,19,4,140.7,67990000.0,Хорошево-Мневники,Шелепиха,483227,True
Главстрой,developer,Москва,sale,flat,7,4,107.3,53102770.0,Котловка,Профсоюзная,494900,True
Kalinka Group,real_estate_agent,Москва,sale,flat,6,4,157.0,250000000.0,Замоскворечье,Новокузнецкая,1592357,True
МИЭЛЬ Офис Пречистенка,real_estate_agent,Москва,sale,flat,16,4,113.4,115000000.0,Пресненский,Тверская,1014109,True
Tekta Group,developer,Москва,sale,flat,34,4,82.9,39153670.0,Обручевский,Воронцовская,472300,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,9,4,143.0,108900000.0,Таганский,Китай-город,761538,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,4,100.0,57000000.0,Гагаринский,Университет,570000,True
Sminex,developer,Москва,sale,flat,14,4,198.4,557450000.0,Якиманка,Полянка,2809728,True
Kalinka Group,real_estate_agent,Москва,sale,flat,14,4,200.0,430000000.0,Хамовники,Фрунзенская,2150000,True
Whitewill,real_estate_agent,Москва,sale,flat,17,4,157.0,149500000.0,Хамовники,Кропоткинская,952229,True
TOUCH,developer,Москва,sale,flat,13,4,129.88,72452704.0,Южнопортовый,Дубровка,557843,True
Kalinka Group,real_estate_agent,Москва,sale,flat,9,4,142.5,108900000.0,Таганский,Китай-город,764211,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,15,4,103.7,50000000.0,Замоскворечье,Павелецкая,482160,True
Пионер,developer,Москва,sale,flat,18,4,112.8,111829581.0,Донской,Ленинский проспект,991397,True
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,92.0,60000000.0,Басманный,Бауманская,652174,True
Homeapp,real_estate_agent,Москва,sale,flat,5,4,107.7,34950000.0,Дорогомилово,Студенческая,324513,True
Absolute Premium,developer,Москва,sale,flat,17,4,155.9,172363000.0,Хамовники,Воробьёвы горы,1105600,True
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,144.6,57840000.0,Якиманка,Шаболовская,400000,True
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,75.0,59500000.0,Замоскворечье,Новокузнецкая,793333,True
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,156.4,63650000.0,Якиманка,Шаболовская,406969,True
Whitewill,real_estate_agent,Москва,sale,flat,52,4,109.2,55000000.0,Раменки,Раменки,503663,True
Донстрой,developer,Москва,sale,flat,26,4,105.9,42201150.0,Лефортово,Римская,398500,True
Kalinka Group,real_estate_agent,Москва,sale,flat,29,4,152.0,61120000.0,Якиманка,Шаболовская,402105,True
MR Group,developer,Москва,sale,flat,46,4,96.1,39624279.0,Даниловский,Павелецкая,412323,True
Пионер,developer,Москва,sale,flat,11,4,178.6,167141024.0,Даниловский,Павелецкая,935840,True
ID 413522,realtor,Москва,sale,flat,11,4,303.0,501000000.0,Хамовники,Фрунзенская,1653465,True
Иван Усачев,realtor,Москва,sale,flat,26,4,250.0,64849000.0,Тропарево-Никулино,Юго-Западная,259396,True
Tekta Group,developer,Москва,sale,flat,34,4,86.5,31511950.0,Нагорный,Нагорная,364300,True
TimeProperty,real_estate_agent,Москва,sale,flat,9,4,225.7,169275000.0,Арбат,Кропоткинская,750000,True
Whitewill,real_estate_agent,Москва,sale,flat,7,4,190.0,140000000.0,Беговой,Белорусская,736842,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,8,4,200.0,110000000.0,Тверской,Менделеевская,550000,True
Анастасия Иванова,realtor,Москва,sale,flat,27,4,102.0,58700000.0,Раменки,Аминьевская,575490,True
UNIQ Development,developer,Москва,sale,flat,25,4,178.8,132312000.0,Фили-Давыдково,Кунцевская,740000,True
SHOW ME,real_estate_agent,Москва,sale,flat,29,4,92.9,29500000.0,Фили-Давыдково,Кунцевская,317546,True
Alliance Agency Real Estate,real_estate_agent,Москва,sale,flat,29,4,79.5,39900000.0,Лефортово,Авиамоторная,501887,True
Пионер,developer,Москва,sale,flat,32,4,114.8,68567744.0,Даниловский,Павелецкая,597280,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,11,4,168.3,249000000.0,Хамовники,Фрунзенская,1479501,True
Villagio Realty,real_estate_agent,Москва,sale,flat,18,4,169.0,83900000.0,Раменки,Ломоносовский проспект,496450,True
EraOneHolding,developer,Москва,sale,flat,8,4,180.7,247273684.0,Арбат,Смоленская,1368421,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,47,4,131.9,59355000.0,Бутырский,Дмитровская,450000,True
Whitewill,real_estate_agent,Москва,sale,flat,44,4,280.0,146000000.0,Фили-Давыдково,Славянский бульвар,521429,True
КОРТРОС,developer,Москва,sale,flat,49,4,109.76,55428800.0,Марьина роща,Марьина Роща,505000,True
Kalinka Group,real_estate_agent,Москва,sale,flat,6,4,192.0,105000000.0,Тверской,Пушкинская,546875,True
Whitewill,real_estate_agent,Москва,sale,flat,26,4,250.0,64850000.0,Тропарево-Никулино,Юго-Западная,259400,True
MR Group,developer,Москва,sale,flat,7,4,257.83,747707000.0,Арбат,Арбатская,2900000,True
Contact Real Estate,real_estate_agent,Москва,sale,flat,12,4,145.0,299000000.0,Хамовники,Спортивная,2062069,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,20,4,124.0,85000000.0,Левобережный,Беломорская,685484,True
Киноцентр,developer,Москва,sale,flat,20,4,122.2,114868000.0,Пресненский,Краснопресненская,940000,True
Whitewill,real_estate_agent,Москва,sale,flat,6,4,184.1,82200000.0,Басманный,Бауманская,446496,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,18,4,157.0,165000000.0,Академический,Академическая,1050955,True
Группа Родина,developer,Москва,sale,flat,19,4,92.0,47172555.0,Можайский,Давыдково,512745,True
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,8,4,134.0,71700000.0,Тверской,Маяковская,535075,True
VESPER,developer,Москва,sale,flat,6,4,620.1,2418390000.0,Пресненский,Пушкинская,3900000,True
СТ Тауэрс,developer,Москва,sale,flat,66,4,209.7,179293500.0,Пресненский,Москва-Сити,855000,True
Kalinka Group,real_estate_agent,Москва,sale,flat,8,4,132.0,91000000.0,Мещанский,Сухаревская,689394,True
Monumental Group,real_estate_agent,Москва,sale,flat,11,4,169.5,79970000.0,Хорошевский,Зорге,471799,True
PIONEER,developer,Москва,sale,flat,22,4,92.5,42442792.0,Марьина роща,Савёловская,458841,True
Contact Real Estate,real_estate_agent,Москва,sale,flat,21,4,137.0,150000000.0,Пресненский,Улица 1905 года,1094891,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,5,4,98.5,46000000.0,Тверской,Цветной бульвар,467005,True
Ташир,developer,Москва,sale,flat,17,4,103.7,58020150.0,Раменки,Ломоносовский проспект,559500,True
Whitewill,real_estate_agent,Москва,sale,flat,13,4,93.0,79950000.0,Раменки,Ломоносовский проспект,859677,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,4,212.1,490000000.0,Раменки,Минская,2310231,True
Ташир,developer,Москва,sale,flat,16,4,103.7,59627500.0,Даниловский,Тульская,575000,True
Kalinka Group,real_estate_agent,Москва,sale,flat,40,4,138.0,135000000.0,Хорошевский,Аэропорт,978261,True
Monumental Group,real_estate_agent,Москва,sale,flat,22,4,200.0,148900000.0,Хорошево-Мневники,Серебряный Бор,744500,True
Capital Group,developer,Москва,sale,flat,30,4,138.1,50372662.0,Якиманка,Серпуховская,364755,True
PEOPLE,real_estate_agent,Москва,sale,flat,21,4,165.0,200000000.0,Пресненский,Улица 1905 года,1212121,True
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,Москва,sale,flat,6,4,130.0,85000000.0,Мещанский,Трубная,653846,True
Sminex,developer,Москва,sale,flat,6,4,176.5,360150000.0,Басманный,Чистые пруды,2040510,True
Point Estate Город,real_estate_agent,Москва,sale,flat,13,4,93.0,79950000.0,Раменки,Ломоносовский проспект,859677,True
Kalinka Group,real_estate_agent,Москва,sale,flat,4,4,174.1,330000000.0,Тверской,Новослободская,1895462,True
Донстрой,developer,Москва,sale,flat,12,4,153.6,97689600.0,Раменки,Мичуринский проспект,636000,True
Kalinka Group,real_estate_agent,Москва,sale,flat,44,4,200.5,160000000.0,Раменки,Минская,798005,True
Kalinka Group,real_estate_agent,Москва,sale,flat,24,4,123.0,95000000.0,Фили-Давыдково,Кунцевская,772358,True
Dominanta,developer,Москва,sale,flat,34,4,130.6,97362300.0,Раменки,Парк Победы,745500,True
Whitewill,real_estate_agent,Москва,sale,flat,37,4,88.4,72990000.0,Хорошевский,Аэропорт,825679,True
Intermark Real Estate,real_estate_agent,Москва,sale,flat,8,4,153.3,85000000.0,Клубный дом в е Чистых прудов4-комн. квартира,not available,554468,False
Sminex,developer,Москва,sale,flat,22,4,149.2,129650000.0,Пресненский,Улица 1905 года,868968,True
Времена года,real_estate_agent,Москва,sale,flat,7,4,173.6,451500000.0,Хамовники,Спортивная,2600806,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,57,4,180.0,201794039.0,Хорошевский,Аэропорт,1121078,True
РГ-Девелопмент,developer,Москва,sale,flat,9,4,83.4,29279905.0,Головинский,Коптево,351078,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,4,136.9,220000000.0,Якиманка,Октябрьская,1607012,True
TimeProperty,real_estate_agent,Москва,sale,flat,15,4,169.2,77000000.0,Мещанский,Сухаревская,455083,True
FORMA,developer,Москва,sale,flat,26,4,126.55,103631795.0,Пресненский,Белорусская,818900,True
Времена года,real_estate_agent,Москва,sale,flat,7,4,191.0,310000000.0,Хамовники,Парк Культуры,1623037,True
Apple Real Estate,real_estate_agent,Москва,sale,flat,5,4,184.0,211403279.0,Арбат,Библиотека им. Ленина,1148931,True
Донстрой,developer,Москва,sale,flat,49,4,122.2,54941120.0,Раменки,Мичуринский проспект,449600,True
Мечты в квадрате,real_estate_agent,Москва,sale,flat,9,4,84.5,52000000.0,Даниловский,Технопарк,615385,True
Delight Realty,real_estate_agent,Москва,sale,flat,14,4,135.8,65000000.0,Фили-Давыдково,Кунцевская,478645,True
Стадион Спартак,developer,Москва,sale,flat,22,4,142.5,97669500.0,Покровское-Стрешнево,Спартак,685400,True
Whitewill,real_estate_agent,Москва,sale,flat,21,4,160.6,168000000.0,Пресненский,Улица 1905 года,1046077,True
Villagio Realty,real_estate_agent,Москва,sale,flat,29,4,167.1,62500000.0,Строгино,Строгино,374028,True
Sminex,developer,Москва,sale,flat,6,4,502.7,1127040000.0,Хамовники,Кропоткинская,2241973,True
TimeProperty,real_estate_agent,Москва,sale,flat,6,4,169.0,90000000.0,Пресненский,Арбатская,532544,True
Whitewill,real_estate_agent,Москва,sale,flat,20,4,90.71,32500000.0,Даниловский,Тульская,358285,True
Tekta Group,developer,Москва,sale,flat,27,4,86.9,38731330.0,Даниловский,Крестьянская застава,445700,True
Kalinka Group,real_estate_agent,Москва,sale,flat,12,4,300.0,250000000.0,Замоскворечье,Новокузнецкая,833333,True
OXE CAPITAL - Элитная Недвижимость,real_estate_agent,Москва,sale,flat,5,4,76.1,33000000.0,Хамовники,Спортивная,433640,True
Основа,developer,Москва,sale,flat,29,4,94.8,28170768.0,Фили-Давыдково,Кунцевская,297160,True
Владислав Карпов,realtor,Москва,sale,flat,31,4,89.0,50500000.0,Раменки,Аминьевская,567416,True
КОРТРОС,developer,Москва,sale,flat,14,4,75.47,41583970.0,Пресненский,Шелепиха,551000,True
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,23,4,201.0,105000000.0,Раменки,Раменки,522388,True
Contact Real Estate,real_estate_agent,Москва,sale,flat,6,4,216.0,395000000.0,Якиманка,Боровицкая,1828704,True
Концерн КРОСТ,developer,Москва,sale,flat,19,4,105.4,50170400.0,Щукино,Октябрьское поле,476000,True
Центрис,real_estate_agent,Москва,sale,flat,8,4,173.9,224900000.0,Хамовники,Спортивная,1293272,True
PEOPLE,real_estate_agent,Москва,sale,flat,5,4,300.0,495000000.0,Хамовники,Кропоткинская,1650000,True
Capital Group,developer,Москва,sale,flat,67,4,118.7,118500000.0,Пресненский,Москва-Сити,998315,True
Ramenky Realty,real_estate_agent,Москва,sale,flat,12,4,101.2,180000000.0,Хамовники,Фрунзенская,1778656,True
Стрелецкая Слобода,developer,Москва,sale,flat,8,4,458.3,723197400.0,Таганский,Китай-город,1578000,True
Основа,developer,Москва,sale,flat,19,4,255.5,127750000.0,Красносельский,Красные ворота,500000,True
Century 21 Level,real_estate_agent,Москва,sale,flat,23,4,146.5,55299000.0,Кунцево,Рабочий посёлок,377468,True
Вертикаль,real_estate_agent,Москва,sale,flat,9,4,133.7,89000000.0,Тверской,Пушкинская,665669,True
Группа Родина,developer,Москва,sale,flat,23,4,132.9,62955380.0,Ростокино,Ботанический сад,473705,True
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,59,4,165.0,50500000.0,Ростокино,Ростокино,306061,True
ЛюксДом,real_estate_agent,Москва,sale,flat,7,4,190.2,125000000.0,Якиманка,Третьяковская,657203,True
Capital Group,developer,Москва,sale,flat,18,4,152.4,162520646.0,Дорогомилово,Москва-Сити,1066408,True
HOUSE MALL - Городская недвижимость,real_estate_agent,Москва,sale,flat,38,4,158.0,60000000.0,Ростокино,Ростокино,379747,True
Kalinka Group,real_estate_agent,Москва,sale,flat,23,4,143.3,170000000.0,Ясенево,Ясенево,1186322,True
Донстрой,developer,Москва,sale,flat,13,4,95.2,56253680.0,Хорошево-Мневники,Терехово ,590900,True
BRIGHT ESTATE - городская недвижимость,real_estate_agent,Москва,sale,flat,8,4,173.6,260400000.0,Хамовники,Спортивная,1500000,True
Whitewill,real_estate_agent,Москва,sale,flat,25,4,300.0,169990000.0,Очаково-Матвеевское,Матвеевская,566633,True
РГ-Девелопмент,developer,Москва,sale,flat,30,4,104.1,36508182.0,Чертаново Южное,Аннино,350703,True
Apple Real Estate,real_estate_agent,Москва,sale,flat,11,4,201.6,300000000.0,Хамовники,Фрунзенская,1488095,True
Whitewill,real_estate_agent,Москва,sale,flat,22,4,143.2,92550000.0,Хорошево-Мневники,Терехово ,646299,True
MR Group,developer,Москва,sale,flat,57,4,80.57,50082312.0,Филевский парк,Фили,621600,True
Kalinka Group,real_estate_agent,Москва,sale,flat,11,4,204.0,300000000.0,Хамовники,Фрунзенская,1470588,True
Kalinka Group,real_estate_agent,Москва,sale,flat,15,4,154.2,201794039.0,Мещанский,Проспект Мира,1308651,True
Forma,developer,Москва,sale,flat,29,4,109.9,49476980.0,Аэропорт,Сокол,450200,True
Whitewill,real_estate_agent,Москва,sale,flat,14,4,91.43,67000000.0,Раменки,Минская,732801,True
Whitewill,real_estate_agent,Москва,sale,flat,17,4,93.0,38000000.0,Даниловский,Автозаводская,408602,True
Мангазея,developer,Москва,sale,flat,21,4,124.1,71419550.0,Щукино,Щукинская,575500,True
Whitewill,real_estate_agent,Москва,sale,flat,7,4,283.0,500000000.0,Пресненский,Белорусская,1766784,True
ALFA real estate,real_estate_agent,Москва,sale,flat,9,4,150.5,230000000.0,Тверской,Новослободская,1528239,True
MR Group,developer,Москва,sale,flat,59,4,79.6,26252080.0,Можайский,Давыдково,329800,True
Whitewill,real_estate_agent,Москва,sale,flat,14,4,130.4,83000000.0,Раменки,Минская,636503,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,12,4,212.0,325000000.0,Пресненский,Тверская,1533019,True
Whitewill,real_estate_agent,Москва,sale,flat,14,4,95.3,57800000.0,Раменки,Минская,606506,True
Century 21 Level,real_estate_agent,Москва,sale,flat,25,4,139.7,59900000.0,Раменки,Аминьевская,428776,True
Аеон-Девелопмент,developer,Москва,sale,flat,46,4,131.0,105116539.0,Дорогомилово,Фили,802416,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,18,4,146.7,161370000.0,Хамовники,Воробьёвы горы,1100000,True
Monumental Group,real_estate_agent,Москва,sale,flat,21,4,106.0,70000000.0,Лефортово,Авиамоторная,660377,True
Whitewill,real_estate_agent,Москва,sale,flat,14,4,95.3,65000000.0,Раменки,Минская,682057,True
AFI Development,developer,Москва,sale,flat,25,4,139.7,75600901.0,Обручевский,Воронцовская,541166,True
MHEstate - Элитная недвижимость,real_estate_agent,Москва,sale,flat,20,4,139.0,127000000.0,Пресненский,Краснопресненская,913669,True
Основа,developer,Москва,sale,flat,29,4,84.5,30462250.0,Черемушки,Новые Черёмушки,360500,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,7,4,283.4,500000000.0,Пресненский,Белорусская,1764291,True
ФСК,developer,Москва,sale,flat,47,4,89.3,44127595.0,Обручевский,Калужская,494150,True
Century 21 Premium Property,real_estate_agent,Москва,sale,flat,21,4,101.3,45500000.0,Даниловский,Технопарк,449161,True
ФСК,developer,Москва,sale,flat,29,4,88.6,36450040.0,Нагатино-Садовники,Нагатинская,411400,True
STONE,developer,Москва,sale,flat,24,4,114.3,50897790.0,Сокольники,Сокольники,445300,True
Contact Real Estate,real_estate_agent,Москва,sale,flat,44,4,117.0,90000000.0,Раменки,Минская,769231,True
MR Group,developer,Москва,sale,flat,48,4,94.69,31464909.0,Покровское-Стрешнево,Трикотажная,332294,True
Century 21 Street Realty,real_estate_agent,Москва,sale,flat,22,4,160.0,94000000.0,Пресненский,Москва-Сити,587500,True
ASTERUS,developer,Москва,sale,flat,14,4,107.8,52094748.0,Покровское-Стрешнево,Спартак,483254,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,8,4,184.5,70000000.0,Даниловский,Крестьянская застава,379404,True
AFI Development,developer,Москва,sale,flat,53,4,100.4,37578114.0,Свиблово,Ботанический сад,374284,True
Optima Development,developer,Москва,sale,flat,41,4,129.0,74936000.0,Хорошевский,ЦСКА,580899,True
Kalinka Group,real_estate_agent,Москва,sale,flat,6,4,166.2,350000000.0,Хамовники,Кропоткинская,2105897,True
1-й ДСК,developer,Москва,sale,flat,15,4,85.0,28766805.0,Гольяново,Щёлковская,338433,True
Игорь Рупасов,realtor,Москва,sale,flat,11,4,162.0,155000000.0,Басманный,Курская,956790,True
Минские холмы,developer,Москва,sale,flat,56,4,110.1,43100060.0,Раменки,Минская,391463,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,20,4,199.4,239280000.0,Пресненский,Краснопресненская,1200000,True
Брусника,developer,Москва,sale,flat,27,4,125.2,51400000.0,Бутырский,Улица Милашенкова,410543,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,8,4,233.2,430000000.0,Хамовники,Парк Культуры,1843911,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,9,4,210.6,170000000.0,Арбат,Арбатская,807217,True
NIKA ESTATE,real_estate_agent,Москва,sale,flat,24,4,108.0,77000000.0,Хорошевский,Полежаевская,712963,True
Kalinka Group,real_estate_agent,Москва,sale,flat,41,4,90.7,79990000.0,Хорошевский,Аэропорт,881918,True
SKOLKOVO НЕДВИЖИМОСТЬ,real_estate_agent,Москва,sale,flat,17,4,131.85,78000000.0,Раменки,Раменки,591581,True
TOUCH,developer,Москва,sale,flat,27,4,112.75,86417000.0,Крылатское,Молодёжная,766448,True
BARNES International Realty,real_estate_agent,Москва,sale,flat,9,4,160.0,110000000.0,Хамовники,Боровицкая,687500,True
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,11,4,195.0,235000000.0,Басманный,Курская,1205128,True
Донстрой,developer,Москва,sale,flat,20,4,165.3,190260300.0,Замоскворечье,Новокузнецкая,1151000,True
Verges of estate,real_estate_agent,Москва,sale,flat,13,4,152.0,184000000.0,Дорогомилово,Поклонная,1210526,True
